;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
0;PDC_alpha_AWAKE_MOD;0.7515151515151516;0.8181818181818182;0.7333333333333334;0.7837837837837838
1;PDC_beta_AWAKE_DA;0.703030303030303;0.7272727272727273;0.6;0.6756756756756757
2;DTF_beta_AWAKE_GRC;0.7015151515151514;0.9090909090909091;0.5333333333333333;0.7567567567567568
3;DTF_beta_AWAKE_GE;0.696969696969697;0.9090909090909091;0.5333333333333333;0.7567567567567568
4;PDC_theta_SLEEP_MOD;0.6909090909090909;0.6818181818181818;0.6666666666666667;0.6756756756756757
5;DTF_beta_SLEEP_DA;0.6848484848484848;0.9545454545454546;0.4666666666666667;0.7567567567567568
6;DTF_beta_SLEEP_AVGCC;0.6818181818181819;0.8181818181818182;0.6;0.7297297297297297
7;PDC_beta_AWAKE_GRC;0.6803030303030303;0.7727272727272727;0.6;0.7027027027027027
8;PDC_broadband_SLEEP_GE;0.6575757575757576;0.8181818181818182;0.5333333333333333;0.7027027027027027
9;PDC_broadband_SLEEP_DA;0.6454545454545455;0.5909090909090909;0.8;0.6756756756756757
10;PDC_theta_SLEEP_GRC;0.6454545454545455;0.45454545454545453;0.8666666666666667;0.6216216216216216
11;PDC_beta_SLEEP_AVGCC;0.6424242424242423;0.5454545454545454;0.8;0.6486486486486487
12;PDC_broadband_SLEEP_AVGCC;0.6393939393939393;0.5454545454545454;0.8666666666666667;0.6756756756756757
13;PDC_delta_SLEEP_MOD;0.6333333333333333;0.5909090909090909;0.6666666666666667;0.6216216216216216
14;PDC_delta_SLEEP_AVGCC;0.6303030303030303;0.6363636363636364;0.7333333333333334;0.6756756756756757
15;DTF_alpha_SLEEP_MOD;0.6287878787878788;0.5454545454545454;0.8;0.6486486486486487
16;PDC_beta_SLEEP_GE;0.6272727272727273;0.6818181818181818;0.5333333333333333;0.6216216216216216
17;PDC_broadband_AWAKE_GRC;0.6242424242424243;0.8636363636363636;0.4;0.6756756756756757
18;DTF_alpha_SLEEP_GE;0.6242424242424242;0.5909090909090909;0.8;0.6756756756756757
19;DTF_beta_AWAKE_AVGCC;0.6212121212121213;0.6363636363636364;0.6666666666666667;0.6486486486486487
20;DTF_theta_SLEEP_DA;0.6212121212121212;0.6818181818181818;0.5333333333333333;0.6216216216216216
21;DTF_delta_AWAKE_AVGCC;0.6212121212121211;0.7727272727272727;0.5333333333333333;0.6756756756756757
22;PDC_delta_AWAKE_DA;0.6196969696969696;0.3181818181818182;1.0;0.5945945945945946
23;DTF_alpha_SLEEP_GRC;0.6181818181818183;0.5909090909090909;0.8;0.6756756756756757
24;PDC_theta_SLEEP_AVGCC;0.6151515151515151;0.5454545454545454;0.7333333333333334;0.6216216216216216
25;PDC_theta_AWAKE_MOD;0.6151515151515151;0.5;0.6666666666666667;0.5675675675675675
26;PDC_delta_SLEEP_GE;0.6136363636363636;0.7727272727272727;0.4666666666666667;0.6486486486486487
27;DTF_broadband_SLEEP_DA;0.6121212121212121;0.6363636363636364;0.5333333333333333;0.5945945945945946
28;PDC_broadband_AWAKE_DA;0.6090909090909091;0.8636363636363636;0.4;0.6756756756756757
29;DTF_alpha_SLEEP_DA;0.6090909090909091;0.6363636363636364;0.6666666666666667;0.6486486486486487
30;PDC_delta_AWAKE_GRC;0.6075757575757575;0.4090909090909091;0.7333333333333334;0.5405405405405406
31;DTF_delta_SLEEP_DA;0.606060606060606;0.8181818181818182;0.5333333333333333;0.7027027027027027
32;DTF_delta_SLEEP_GRC;0.6045454545454546;0.8181818181818182;0.4666666666666667;0.6756756756756757
33;PDC_beta_AWAKE_MOD;0.6045454545454545;0.9090909090909091;0.4666666666666667;0.7297297297297297
34;PDC_alpha_SLEEP_GE;0.6;0.5;0.7333333333333334;0.5945945945945946
35;DTF_alpha_AWAKE_MOD;0.6;0.6818181818181818;0.5333333333333333;0.6216216216216216
36;PDC_delta_SLEEP_GRC;0.5924242424242424;0.7272727272727273;0.5333333333333333;0.6486486486486487
37;PDC_broadband_AWAKE_MOD;0.5924242424242424;0.7272727272727273;0.5333333333333333;0.6486486486486487
38;DTF_theta_SLEEP_MOD;0.5878787878787879;0.5909090909090909;0.6;0.5945945945945946
39;PDC_alpha_SLEEP_MOD;0.5878787878787879;0.6818181818181818;0.6;0.6486486486486487
40;DTF_alpha_AWAKE_AVGCC;0.5848484848484848;0.7727272727272727;0.6;0.7027027027027027
41;DTF_delta_AWAKE_DA;0.5848484848484848;0.6818181818181818;0.4666666666666667;0.5945945945945946
42;DTF_broadband_AWAKE_AVGCC;0.5848484848484848;0.5909090909090909;0.6666666666666667;0.6216216216216216
43;PDC_broadband_SLEEP_GRC;0.5833333333333333;0.3181818181818182;0.8666666666666667;0.5405405405405406
44;DTF_broadband_AWAKE_DA;0.5818181818181818;0.6363636363636364;0.5333333333333333;0.5945945945945946
45;PDC_theta_SLEEP_GE;0.5803030303030303;0.5;0.8;0.6216216216216216
46;DTF_beta_AWAKE_DA;0.5757575757575757;0.7272727272727273;0.5333333333333333;0.6486486486486487
47;DTF_broadband_AWAKE_GRC;0.5742424242424242;0.6363636363636364;0.5333333333333333;0.5945945945945946
48;DTF_theta_SLEEP_GRC;0.5712121212121212;0.7727272727272727;0.4;0.6216216216216216
49;PDC_beta_SLEEP_GRC;0.5696969696969697;0.2727272727272727;0.8666666666666667;0.5135135135135135
50;DTF_beta_AWAKE_MOD;0.5696969696969697;0.7272727272727273;0.6;0.6756756756756757
51;DTF_theta_SLEEP_GE;0.5696969696969696;0.5;0.6666666666666667;0.5675675675675675
52;DTF_theta_AWAKE_MOD;0.5666666666666667;0.5909090909090909;0.6666666666666667;0.6216216216216216
53;PDC_theta_SLEEP_DA;0.5636363636363637;0.5909090909090909;0.6666666666666667;0.6216216216216216
54;DTF_delta_SLEEP_GE;0.5606060606060606;0.8181818181818182;0.4;0.6486486486486487
55;DTF_beta_SLEEP_MOD;0.5575757575757577;0.6363636363636364;0.5333333333333333;0.5945945945945946
56;DTF_delta_SLEEP_MOD;0.556060606060606;0.4090909090909091;0.7333333333333334;0.5405405405405406
57;DTF_theta_AWAKE_DA;0.5545454545454547;0.7272727272727273;0.5333333333333333;0.6486486486486487
58;DTF_broadband_AWAKE_GE;0.5545454545454546;0.6363636363636364;0.5333333333333333;0.5945945945945946
59;PDC_theta_AWAKE_AVGCC;0.5484848484848485;0.4090909090909091;0.7333333333333334;0.5405405405405406
60;PDC_beta_SLEEP_MOD;0.5484848484848485;0.8181818181818182;0.4;0.6486486486486487
61;DTF_delta_AWAKE_MOD;0.5424242424242425;0.8181818181818182;0.4666666666666667;0.6756756756756757
62;DTF_delta_SLEEP_AVGCC;0.5424242424242425;0.7272727272727273;0.5333333333333333;0.6486486486486487
63;DTF_alpha_AWAKE_DA;0.5424242424242425;0.5454545454545454;0.6;0.5675675675675675
64;PDC_alpha_AWAKE_DA;0.5393939393939395;0.45454545454545453;0.6666666666666667;0.5405405405405406
65;DTF_broadband_SLEEP_GE;0.5393939393939394;0.6818181818181818;0.4666666666666667;0.5945945945945946
66;DTF_broadband_SLEEP_GRC;0.5378787878787878;0.4090909090909091;0.7333333333333334;0.5405405405405406
67;PDC_delta_AWAKE_GE;0.5363636363636364;0.4090909090909091;0.6666666666666667;0.5135135135135135
68;PDC_broadband_SLEEP_MOD;0.5363636363636364;0.5;0.6;0.5405405405405406
69;PDC_delta_AWAKE_AVGCC;0.5348484848484849;0.6818181818181818;0.4;0.5675675675675675
70;DTF_theta_AWAKE_GE;0.5333333333333333;0.7727272727272727;0.4;0.6216216216216216
71;DTF_broadband_SLEEP_AVGCC;0.5333333333333333;0.4090909090909091;0.7333333333333334;0.5405405405405406
72;DTF_alpha_SLEEP_AVGCC;0.5303030303030304;0.5;0.6666666666666667;0.5675675675675675
73;PDC_alpha_SLEEP_AVGCC;0.5303030303030304;0.6363636363636364;0.4666666666666667;0.5675675675675675
74;PDC_alpha_SLEEP_DA;0.5242424242424243;0.5;0.6;0.5405405405405406
75;PDC_beta_SLEEP_DA;0.5242424242424243;0.7272727272727273;0.5333333333333333;0.6486486486486487
76;PDC_alpha_SLEEP_GRC;0.5212121212121212;0.5909090909090909;0.5333333333333333;0.5675675675675675
77;PDC_theta_AWAKE_DA;0.5212121212121211;0.45454545454545453;0.6;0.5135135135135135
78;DTF_theta_SLEEP_AVGCC;0.5212121212121211;0.6363636363636364;0.5333333333333333;0.5945945945945946
79;DTF_alpha_AWAKE_GE;0.5181818181818183;0.5;0.6;0.5405405405405406
80;DTF_broadband_SLEEP_MOD;0.5151515151515151;0.4090909090909091;0.7333333333333334;0.5405405405405406
81;DTF_broadband_AWAKE_MOD;0.5121212121212122;0.8181818181818182;0.4;0.6486486486486487
82;DTF_beta_SLEEP_GE;0.5121212121212121;0.7727272727272727;0.4;0.6216216216216216
83;DTF_theta_AWAKE_GRC;0.5090909090909091;0.7727272727272727;0.4;0.6216216216216216
84;DTF_alpha_AWAKE_GRC;0.509090909090909;0.5;0.5333333333333333;0.5135135135135135
85;PDC_delta_SLEEP_DA;0.509090909090909;0.3181818181818182;0.8;0.5135135135135135
86;DTF_beta_SLEEP_GRC;0.5060606060606061;0.7272727272727273;0.4;0.5945945945945946
87;PDC_theta_AWAKE_GRC;0.5045454545454545;0.22727272727272727;0.7333333333333334;0.43243243243243246
88;DTF_theta_AWAKE_AVGCC;0.503030303030303;0.5;0.6;0.5405405405405406
89;DTF_delta_AWAKE_GE;0.5030303030303029;0.5909090909090909;0.4666666666666667;0.5405405405405406
90;DTF_delta_AWAKE_GRC;0.4954545454545455;0.5909090909090909;0.4666666666666667;0.5405405405405406
91;PDC_theta_AWAKE_GE;0.4833333333333334;0.22727272727272727;0.8666666666666667;0.4864864864864865
92;PDC_alpha_AWAKE_GRC;0.4787878787878788;0.22727272727272727;0.8666666666666667;0.4864864864864865
93;PDC_broadband_AWAKE_GE;0.47424242424242424;0.3181818181818182;0.7333333333333334;0.4864864864864865
94;PDC_broadband_AWAKE_AVGCC;0.4651515151515152;0.45454545454545453;0.5333333333333333;0.4864864864864865
95;PDC_alpha_AWAKE_GE;0.45909090909090905;0.22727272727272727;0.9333333333333333;0.5135135135135135
96;PDC_alpha_AWAKE_AVGCC;0.4439393939393939;0.2727272727272727;0.8;0.4864864864864865
97;PDC_beta_AWAKE_AVGCC;0.40606060606060607;0.2727272727272727;0.8666666666666667;0.5135135135135135
98;PDC_delta_AWAKE_MOD;0.3999999999999999;0.4090909090909091;0.5333333333333333;0.4594594594594595
99;PDC_beta_AWAKE_GE;0.390909090909091;0.2727272727272727;0.8666666666666667;0.5135135135135135
