;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.09960981003729924;0.18898826832761328;0.4446441378006054;0.3494965101075158;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.13606478265191058;0.3844259825075108;0.21510642100922672;0.011492640035821448;0.024745621064602843
2;PDC_AWAKE_GE;0.3409610745449381;0.424112598563521;0.31429707060315704;0.11873393881772981;0.3903210220649405
3;PDC_AWAKE_GRC;0.10561336781191227;0.4847293834270865;0.4044388914512269;0.02465412527335502;0.07914049542830048
4;PDC_AWAKE_MOD;0.15727367605401088;0.12297418047003322;0.005349311226953526;0.1464096284814449;0.1766525929399559
5;PDC_AWAKE_DA;0.10668770633519015;0.41671131179007137;0.3447878344737367;0.015937438294942374;0.12139601701960484
6;PDC_AWAKE_AVGCC;0.3646370026580485;0.3106587288752438;0.2825845759993909;0.1673132293411383;0.36311267514562207
7;PDC_SLEEP_GE;0.12605234902065848;0.21050324195144576;0.15733106768956584;0.09951657569090311;0.05551344255318283
8;PDC_SLEEP_GRC;0.17541855582231008;0.07043892635572428;0.4198077142733612;0.1668131409894807;0.1335142138060234
9;PDC_SLEEP_MOD;0.08920821110910909;0.026593427378129114;0.18897413396613888;0.31578728935808176;0.36100760106888347
10;PDC_SLEEP_DA;0.4691781152152442;0.262989695487007;0.4082658673600003;0.4082658673600003;0.07086425989780812
11;PDC_SLEEP_AVGCC;0.0943032756938994;0.12301617454913333;0.3844259825075108;0.0751531898522748;0.07963726082642564
12;DTF_AWAKE_GE;0.4938297237423794;0.3726619390208801;0.4324503085680057;0.02300030052372345;0.29413242475453516
13;DTF_AWAKE_GRC;0.4876367260864535;0.4691489030536294;0.4691489030536294;0.020442067998123894;0.22882134445189595
14;DTF_AWAKE_MOD;0.3381144778320262;0.25299651575947213;0.15735975335751945;0.24320682066957794;0.45689058536119803
15;DTF_AWAKE_DA;0.19746903696835227;0.29413242475453516;0.3381144778320262;0.22425749799628386;0.20617592794401451
16;DTF_AWAKE_AVGCC;0.11087097463752132;0.4938297237423794;0.19746903696835227;0.11087097463752132;0.19746903696835227
17;DTF_SLEEP_GE;0.2731808332272815;0.24320682066957794;0.1051313053196673;0.45689058536119803;0.3494965101075158
18;DTF_SLEEP_GRC;0.14441962895230775;0.2363686017001983;0.1111839464560826;0.481402317444679;0.3546708213144484
19;DTF_SLEEP_MOD;0.28880285864355515;0.18897413396613888;0.09691667479788113;0.2835639104706973;0.4446441378006054
20;DTF_SLEEP_DA;0.14293237185691704;0.11087097463752132;0.13606478265191058;0.030635697649414727;0.12942655807077108
21;DTF_SLEEP_AVGCC;0.3381144778320262;0.4203204836994675;0.3844259825075108;0.03284028446224094;0.3726619390208801
