;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.472470670819033;0.472470670819033;0.4938297237423794;0.4938297237423794;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.22677463775318416;0.3844259825075108;0.2688830262615334;0.057463200179107;0.061864052661507
2;PDC_AWAKE_GE;0.424112598563521;0.424112598563521;0.424112598563521;0.424112598563521;0.424112598563521
3;PDC_AWAKE_GRC;0.17602227968652034;0.4847293834270865;0.4847293834270865;0.123270626366775;0.17602227968652034
4;PDC_AWAKE_MOD;0.1766525929399559;0.1766525929399559;0.0267465561347675;0.1766525929399559;0.1766525929399559
5;PDC_AWAKE_DA;0.20232669503267467;0.4167113117900713;0.4167113117900713;0.0796871914747115;0.20232669503267467
6;PDC_AWAKE_AVGCC;0.3646370026580485;0.3646370026580485;0.3646370026580485;0.3646370026580485;0.3646370026580485
7;PDC_SLEEP_GE;0.19666383461195724;0.2105032419514457;0.19666383461195724;0.19666383461195724;0.19666383461195724
8;PDC_SLEEP_GRC;0.21927319477788748;0.21927319477788748;0.4198077142733612;0.21927319477788748;0.21927319477788748
9;PDC_SLEEP_MOD;0.22302052777277248;0.1329671368906455;0.3149568899435647;0.3610076010688834;0.3610076010688834
10;PDC_SLEEP_DA;0.4691781152152442;0.4691781152152442;0.4691781152152442;0.4691781152152442;0.3543212994890405
11;PDC_SLEEP_AVGCC;0.15377021818641662;0.15377021818641662;0.3844259825075108;0.15377021818641662;0.15377021818641662
12;DTF_AWAKE_GE;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.115001502618617;0.4938297237423794
13;DTF_AWAKE_GRC;0.4876367260864535;0.4876367260864535;0.4876367260864535;0.102210339990619;0.4876367260864535
14;DTF_AWAKE_MOD;0.42264309729003274;0.42166085959912014;0.42166085959912014;0.42166085959912014;0.456890585361198
15;DTF_AWAKE_DA;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262
16;DTF_AWAKE_AVGCC;0.24683629621044023;0.4938297237423794;0.24683629621044023;0.24683629621044023;0.24683629621044023
17;DTF_SLEEP_GE;0.43687063763439477;0.43687063763439477;0.43687063763439477;0.456890585361198;0.43687063763439477
18;DTF_SLEEP_GRC;0.3610490723807692;0.3939476695003305;0.3610490723807692;0.481402317444679;0.44333852664306045
19;DTF_SLEEP_MOD;0.3610035733044438;0.3610035733044438;0.3610035733044438;0.3610035733044438;0.4446441378006054
20;DTF_SLEEP_DA;0.142932371856917;0.142932371856917;0.142932371856917;0.142932371856917;0.142932371856917
21;DTF_SLEEP_AVGCC;0.4203204836994675;0.4203204836994675;0.4203204836994675;0.1642014223112045;0.4203204836994675
