;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.1478921372705865;0.48283080809127044;0.7705708038253556;0.6675030317099393;0.9645257122861148
1;wPLI_SLEEP_MEAN_SYNCH;0.16633243640884393;0.7744046054127277;0.2667043392825035;0.41868870828156646;0.2353245503267166
2;PDC_AWAKE_GE;0.994551142222925;0.7776514814603535;0.8692317098874534;0.9960986563657735;0.9496121609128305
3;PDC_AWAKE_GRC;0.6268463744220123;0.42206848059132407;0.5159722648472258;0.37279950629596437;0.3402432160048984
4;PDC_AWAKE_MOD;0.4573961721538581;0.42118498746397837;0.6543833752271075;0.9556541927019013;0.7286512180916765
5;PDC_AWAKE_DA;0.7028161912263433;0.7766129389706132;0.7425978245620015;0.8293079679758396;0.6590078921429823
6;PDC_AWAKE_AVGCC;0.7941628464181893;0.6159121409854231;0.6563161435921328;0.9669947982159637;0.9432221583938919
7;PDC_SLEEP_GE;0.2235628419666415;0.22640766814499266;0.19885369198248787;0.22764308300260686;0.2205986001458466
8;PDC_SLEEP_GRC;0.18910576857214884;0.260016755158815;0.41205999671924365;0.41685918368258756;0.3667476506356667
9;PDC_SLEEP_MOD;0.6501606804369826;0.8877184182246639;0.6834902093963057;0.6697827105000178;0.6659151917988844
10;PDC_SLEEP_DA;0.10024244393802603;0.12048995745903686;0.4079658238010172;0.2616569946360731;0.09896680098303573
11;PDC_SLEEP_AVGCC;0.09617006931682469;0.18249779781895306;0.21413393153455185;0.2837576930979494;0.23283911797785034
12;DTF_AWAKE_GE;0.31333076945076566;0.36686797184247333;0.3997384341913519;0.29836328378841664;0.31682918428722334
13;DTF_AWAKE_GRC;0.17782794277721026;0.1512293843592664;0.08295663745444933;0.16574647681808244;0.14325919643007592
14;DTF_AWAKE_MOD;0.2177959880121612;0.34837188200137925;0.5899056583319037;0.23198935608094975;0.2597879422333909
15;DTF_AWAKE_DA;0.5139531858435834;0.8598802536673051;0.1859312443350636;0.48564337734260665;0.7763096346579822
16;DTF_AWAKE_AVGCC;0.32014873167298064;0.47552297002176114;0.34070513751767983;0.2852624556009147;0.2974707588824652
17;DTF_SLEEP_GE;0.9446225108909609;0.9752352443620681;0.48025893936814523;0.2508708911745822;0.334521838152552
18;DTF_SLEEP_GRC;0.34217583809070906;0.4174937992944444;0.3824485620919291;0.5254587093946483;0.9864347250537644
19;DTF_SLEEP_MOD;0.9857275302124598;0.7413038302021144;0.3384250355225332;0.25042219754584316;0.29396959074865014
20;DTF_SLEEP_DA;0.20286001469741136;0.5843297423706137;0.9312454488478179;0.958713463511753;0.6076300751447983
21;DTF_SLEEP_AVGCC;0.263842714616858;0.20830302803025713;0.186585544822089;0.2995409502538769;0.3579692713491359
