;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
0;PDC_delta_SLEEP_DA;0.6696969696969697;0.7727272727272727;0.6;0.7027027027027027
1;PDC_broadband_SLEEP_DA;0.6696969696969697;0.6818181818181818;0.6666666666666667;0.6756756756756757
2;PDC_delta_SLEEP_AVGCC;0.6696969696969696;0.7272727272727273;0.6;0.6756756756756757
3;DTF_delta_SLEEP_DA;0.6545454545454544;0.7727272727272727;0.6;0.7027027027027027
4;DTF_alpha_AWAKE_GRC;0.6484848484848484;0.8181818181818182;0.5333333333333333;0.7027027027027027
5;PDC_theta_SLEEP_DA;0.6424242424242425;0.7727272727272727;0.5333333333333333;0.6756756756756757
6;PDC_delta_SLEEP_GE;0.6333333333333333;0.8181818181818182;0.4666666666666667;0.6756756756756757
7;PDC_theta_SLEEP_AVGCC;0.6303030303030301;0.7727272727272727;0.5333333333333333;0.6756756756756757
8;PDC_alpha_SLEEP_GE;0.6272727272727272;0.5454545454545454;0.6666666666666667;0.5945945945945946
9;PDC_broadband_SLEEP_GE;0.6242424242424242;0.7272727272727273;0.5333333333333333;0.6486486486486487
10;DTF_alpha_AWAKE_DA;0.6212121212121212;0.4090909090909091;0.9333333333333333;0.6216216216216216
11;PDC_beta_SLEEP_GE;0.6212121212121212;0.45454545454545453;0.8;0.5945945945945946
12;PDC_delta_SLEEP_GRC;0.6212121212121212;0.5454545454545454;0.8;0.6486486486486487
13;PDC_alpha_SLEEP_DA;0.6212121212121212;0.6818181818181818;0.5333333333333333;0.6216216216216216
14;DTF_delta_AWAKE_MOD;0.6181818181818182;0.6818181818181818;0.6;0.6486486486486487
15;PDC_theta_SLEEP_GE;0.6151515151515152;0.8181818181818182;0.4666666666666667;0.6756756756756757
16;PDC_delta_AWAKE_MOD;0.6151515151515151;0.6363636363636364;0.6666666666666667;0.6486486486486487
17;PDC_theta_AWAKE_MOD;0.6060606060606062;0.6363636363636364;0.6666666666666667;0.6486486486486487
18;DTF_alpha_SLEEP_AVGCC;0.6060606060606061;0.7272727272727273;0.6;0.6756756756756757
19;DTF_beta_AWAKE_GRC;0.6060606060606061;0.7727272727272727;0.4666666666666667;0.6486486486486487
20;PDC_beta_SLEEP_DA;0.603030303030303;0.5;0.7333333333333334;0.5945945945945946
