;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.09960981003729924;0.18898826832761328;0.4446441378006054;0.3494965101075158;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.13606478265191058;0.3844259825075108;0.21510642100922672;0.011492640035821448;0.024745621064602843
2;PDC_AWAKE_GE;0.3844259825075108;0.4082658673600003;0.4446441378006054;0.45689058536119803;0.4938297237423794
3;PDC_AWAKE_GRC;0.2731808332272815;0.18898826832761328;0.29413242475453516;0.2731808332272815;0.23362563904295625
4;PDC_AWAKE_MOD;0.12301617454913333;0.14293237185691704;0.20617592794401451;0.3381144778320262;0.2835639104706973
5;PDC_AWAKE_DA;0.21510642100922672;0.25299651575947213;0.21510642100922672;0.262989695487007;0.262989695487007
6;PDC_AWAKE_AVGCC;0.4691781152152442;0.4082658673600003;0.4324503085680057;0.4938297237423794;0.4814950739147495
7;PDC_SLEEP_GE;0.08920821110910909;0.12301617454913333;0.09960981003729924;0.11087097463752132;0.1051313053196673
8;PDC_SLEEP_GRC;0.11087097463752132;0.3381144778320262;0.262989695487007;0.3157973965292324;0.23362563904295625
9;PDC_SLEEP_MOD;0.3494965101075158;0.4446441378006054;0.3844259825075108;0.3844259825075108;0.4691781152152442
10;PDC_SLEEP_DA;0.043002393554141;0.0751531898522748;0.11087097463752132;0.15003045558256378;0.043002393554141
11;PDC_SLEEP_AVGCC;0.043002393554141;0.0943032756938994;0.2835639104706973;0.15735975335751945;0.3610154976500532
12;DTF_AWAKE_GE;0.24320682066957794;0.2835639104706973;0.3610154976500532;0.25299651575947213;0.2835639104706973
13;DTF_AWAKE_GRC;0.19746903696835227;0.16492055867722394;0.06676590211360692;0.14293237185691704;0.16492055867722394
14;DTF_AWAKE_MOD;0.11683173247834461;0.15735975335751945;0.29413242475453516;0.16492055867722394;0.15003045558256378
15;DTF_AWAKE_DA;0.29413242475453516;0.4938297237423794;0.11087097463752132;0.22425749799628386;0.4082658673600003
16;DTF_AWAKE_AVGCC;0.23362563904295625;0.3381144778320262;0.262989695487007;0.20617592794401451;0.25299651575947213
17;DTF_SLEEP_GE;0.32687852888302504;0.23362563904295625;0.30487939961221255;0.24320682066957794;0.32687852888302504
18;DTF_SLEEP_GRC;0.2835639104706973;0.3157973965292324;0.3494965101075158;0.18073564990308277;0.21510642100922672
19;DTF_SLEEP_MOD;0.30487939961221255;0.4938297237423794;0.18073564990308277;0.20617592794401451;0.18898826832761328
20;DTF_SLEEP_DA;0.05912188068897344;0.396297450831985;0.4082658673600003;0.4814950739147495;0.4814950739147495
21;DTF_SLEEP_AVGCC;0.262989695487007;0.2835639104706973;0.14293237185691704;0.19746903696835227;0.21510642100922672
