;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.472470670819033;0.472470670819033;0.4938297237423794;0.4938297237423794;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.22677463775318416;0.3844259825075108;0.2688830262615334;0.057463200179107;0.061864052661507
2;PDC_AWAKE_GE;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794
3;PDC_AWAKE_GRC;0.2941324247545351;0.2941324247545351;0.2941324247545351;0.2941324247545351;0.2941324247545351
4;PDC_AWAKE_MOD;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262
5;PDC_AWAKE_DA;0.262989695487007;0.262989695487007;0.262989695487007;0.262989695487007;0.262989695487007
6;PDC_AWAKE_AVGCC;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794
7;PDC_SLEEP_GE;0.1230161745491333;0.1230161745491333;0.1230161745491333;0.1230161745491333;0.1230161745491333
8;PDC_SLEEP_GRC;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262;0.3381144778320262
9;PDC_SLEEP_MOD;0.4691781152152442;0.4691781152152442;0.4691781152152442;0.4691781152152442;0.4691781152152442
10;PDC_SLEEP_DA;0.10750598388535249;0.125255316420458;0.13858871829690161;0.1500304555825637;0.10750598388535249
11;PDC_SLEEP_AVGCC;0.21501196777070497;0.2357581892347485;0.3544548880883716;0.2622662555958657;0.3610154976500532
12;DTF_AWAKE_GE;0.3544548880883716;0.3544548880883716;0.3610154976500532;0.3544548880883716;0.3544548880883716
13;DTF_AWAKE_GRC;0.1974690369683522;0.1974690369683522;0.1974690369683522;0.1974690369683522;0.1974690369683522
14;DTF_AWAKE_MOD;0.20615069834652988;0.20615069834652988;0.2941324247545351;0.20615069834652988;0.20615069834652988
15;DTF_AWAKE_DA;0.4902207079242252;0.4938297237423794;0.4902207079242252;0.4902207079242252;0.4938297237423794
16;DTF_AWAKE_AVGCC;0.32873711935875877;0.3381144778320262;0.32873711935875877;0.32873711935875877;0.32873711935875877
17;DTF_SLEEP_GE;0.326878528883025;0.326878528883025;0.326878528883025;0.326878528883025;0.326878528883025
18;DTF_SLEEP_GRC;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158
19;DTF_SLEEP_MOD;0.3810992495152656;0.4938297237423794;0.3436265465733575;0.3436265465733575;0.3436265465733575
20;DTF_SLEEP_DA;0.29560940344486697;0.4814950739147495;0.4814950739147495;0.4814950739147495;0.4814950739147495
21;DTF_SLEEP_AVGCC;0.2835639104706973;0.2835639104706973;0.2835639104706973;0.2835639104706973;0.2835639104706973
