;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
0;PDC_delta_SLEEP_AVGCC;0.7545454545454545;0.8181818181818182;0.6666666666666667;0.7567567567567568
1;PDC_beta_SLEEP_GE;0.7333333333333333;0.7727272727272727;0.7333333333333334;0.7567567567567568
2;PDC_broadband_SLEEP_AVGCC;0.7242424242424242;0.6818181818181818;0.7333333333333334;0.7027027027027027
3;PDC_broadband_SLEEP_GE;0.703030303030303;0.5909090909090909;0.8666666666666667;0.7027027027027027
4;PDC_theta_AWAKE_MOD;0.6909090909090908;0.5909090909090909;0.8;0.6756756756756757
5;DTF_theta_SLEEP_DA;0.6727272727272727;0.6818181818181818;0.8;0.7297297297297297
6;DTF_delta_SLEEP_GRC;0.6666666666666667;0.5454545454545454;0.9333333333333333;0.7027027027027027
7;PDC_alpha_AWAKE_MOD;0.6484848484848484;0.6818181818181818;0.6;0.6486486486486487
8;PDC_broadband_AWAKE_MOD;0.6454545454545454;0.6363636363636364;0.6666666666666667;0.6486486486486487
9;DTF_alpha_AWAKE_DA;0.6393939393939395;0.5;0.8666666666666667;0.6486486486486487
10;PDC_beta_SLEEP_AVGCC;0.6393939393939393;0.9090909090909091;0.4;0.7027027027027027
11;PDC_alpha_SLEEP_DA;0.6303030303030301;0.5454545454545454;0.7333333333333334;0.6216216216216216
12;PDC_theta_AWAKE_GRC;0.6272727272727273;0.5454545454545454;0.7333333333333334;0.6216216216216216
13;PDC_alpha_SLEEP_GE;0.6272727272727272;0.5909090909090909;0.6666666666666667;0.6216216216216216
14;DTF_beta_AWAKE_GRC;0.6151515151515151;0.7727272727272727;0.4666666666666667;0.6486486486486487
15;PDC_broadband_SLEEP_DA;0.6121212121212122;0.4090909090909091;0.8;0.5675675675675675
16;DTF_delta_AWAKE_AVGCC;0.6121212121212121;0.5;0.8;0.6216216216216216
17;PDC_beta_SLEEP_DA;0.6090909090909091;0.6363636363636364;0.6;0.6216216216216216
18;DTF_broadband_AWAKE_GRC;0.6090909090909091;0.5909090909090909;0.6;0.5945945945945946
19;PDC_delta_SLEEP_GE;0.6090909090909091;0.5454545454545454;0.7333333333333334;0.6216216216216216
