;feature;AUC;best_th_sensitivity;best_th_specificity;best_th_acc
0;DTF_delta_SLEEP_GE;0.5454545454545455;0.7272727272727273;0.4666666666666667;0.6216216216216216
1;DTF_delta_SLEEP_GRC;0.6666666666666667;0.5454545454545454;0.9333333333333333;0.7027027027027027
2;DTF_delta_SLEEP_MOD;0.6060606060606061;0.8181818181818182;0.5333333333333333;0.7027027027027027
3;DTF_delta_SLEEP_DA;0.5484848484848485;0.6818181818181818;0.4666666666666667;0.5945945945945946
4;DTF_delta_SLEEP_AVGCC;0.6;0.5;0.7333333333333334;0.5945945945945946
5;DTF_theta_SLEEP_GE;0.4696969696969697;0.7272727272727273;0.4;0.5945945945945946
6;DTF_theta_SLEEP_GRC;0.5545454545454546;0.36363636363636365;0.8666666666666667;0.5675675675675675
7;DTF_theta_SLEEP_MOD;0.5818181818181819;0.9090909090909091;0.4666666666666667;0.7297297297297297
8;DTF_theta_SLEEP_DA;0.6727272727272727;0.6818181818181818;0.8;0.7297297297297297
9;DTF_theta_SLEEP_AVGCC;0.5545454545454546;0.6818181818181818;0.4666666666666667;0.5945945945945946
10;DTF_alpha_SLEEP_GE;0.5272727272727273;0.6818181818181818;0.4666666666666667;0.5945945945945946
11;DTF_alpha_SLEEP_GRC;0.4757575757575759;0.45454545454545453;0.6;0.5135135135135135
12;DTF_alpha_SLEEP_MOD;0.5393939393939394;0.6818181818181818;0.5333333333333333;0.6216216216216216
13;DTF_alpha_SLEEP_DA;0.5666666666666668;0.6363636363636364;0.5333333333333333;0.5945945945945946
14;DTF_alpha_SLEEP_AVGCC;0.5878787878787879;0.6818181818181818;0.6;0.6486486486486487
15;DTF_beta_SLEEP_GE;0.5515151515151515;0.6363636363636364;0.5333333333333333;0.5945945945945946
16;DTF_beta_SLEEP_GRC;0.5969696969696969;0.5909090909090909;0.6666666666666667;0.6216216216216216
17;DTF_beta_SLEEP_MOD;0.593939393939394;0.6818181818181818;0.5333333333333333;0.6216216216216216
18;DTF_beta_SLEEP_DA;0.5303030303030303;0.6363636363636364;0.5333333333333333;0.5945945945945946
19;DTF_beta_SLEEP_AVGCC;0.5333333333333333;0.8181818181818182;0.4;0.6486486486486487
20;DTF_broadband_SLEEP_GE;0.5393939393939394;0.8636363636363636;0.4;0.6756756756756757
21;DTF_broadband_SLEEP_GRC;0.5424242424242425;0.6818181818181818;0.4666666666666667;0.5945945945945946
22;DTF_broadband_SLEEP_MOD;0.5424242424242424;0.8181818181818182;0.4;0.6486486486486487
23;DTF_broadband_SLEEP_DA;0.503030303030303;0.5909090909090909;0.5333333333333333;0.5675675675675675
24;DTF_broadband_SLEEP_AVGCC;0.5212121212121212;0.7727272727272727;0.4666666666666667;0.6486486486486487
25;DTF_delta_AWAKE_GE;0.5393939393939393;0.3181818181818182;0.9333333333333333;0.5675675675675675
26;DTF_delta_AWAKE_GRC;0.5818181818181819;0.5454545454545454;0.6666666666666667;0.5945945945945946
27;DTF_delta_AWAKE_MOD;0.6000000000000001;0.6818181818181818;0.7333333333333334;0.7027027027027027
28;DTF_delta_AWAKE_DA;0.5787878787878787;0.45454545454545453;0.7333333333333334;0.5675675675675675
29;DTF_delta_AWAKE_AVGCC;0.6121212121212121;0.5;0.8;0.6216216216216216
30;DTF_theta_AWAKE_GE;0.5393939393939393;0.4090909090909091;0.7333333333333334;0.5405405405405406
31;DTF_theta_AWAKE_GRC;0.5393939393939393;0.45454545454545453;0.7333333333333334;0.5675675675675675
32;DTF_theta_AWAKE_MOD;0.46969696969696967;0.4090909090909091;0.6;0.4864864864864865
33;DTF_theta_AWAKE_DA;0.5424242424242424;0.45454545454545453;0.8;0.5945945945945946
34;DTF_theta_AWAKE_AVGCC;0.5727272727272729;0.45454545454545453;0.7333333333333334;0.5675675675675675
35;DTF_alpha_AWAKE_GE;0.5515151515151514;0.6818181818181818;0.4666666666666667;0.5945945945945946
36;DTF_alpha_AWAKE_GRC;0.5818181818181818;0.5454545454545454;0.6666666666666667;0.5945945945945946
37;DTF_alpha_AWAKE_MOD;0.5303030303030303;0.5;0.6666666666666667;0.5675675675675675
