;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.09960981003729924;0.18898826832761328;0.4446441378006054;0.3494965101075158;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.13606478265191058;0.3844259825075108;0.21510642100922672;0.011492640035821448;0.024745621064602843
2;PDC_AWAKE_GE;0.4938297237423794;0.3381144778320262;0.4446441378006054;0.4938297237423794;0.4938297237423794
3;PDC_AWAKE_GRC;0.3494965101075158;0.09960981003729924;0.3844259825075108;0.25299651575947213;0.3494965101075158
4;PDC_AWAKE_MOD;0.3610154976500532;0.026593427378129114;0.06676590211360692;0.14293237185691704;0.07086425989780812
5;PDC_AWAKE_DA;0.29413242475453516;0.30487939961221255;0.3157973965292324;0.3494965101075158;0.32687852888302504
6;PDC_AWAKE_AVGCC;0.396297450831985;0.45689058536119803;0.4446441378006054;0.4203204836994675;0.4324503085680057
7;PDC_SLEEP_GE;0.13606478265191058;0.3610154976500532;0.09960981003729924;0.00897901258195249;0.019836459952154988
8;PDC_SLEEP_GRC;0.45689058536119803;0.2731808332272815;0.4814950739147495;0.2731808332272815;0.396297450831985
9;PDC_SLEEP_MOD;0.4446441378006054;0.24320682066957794;0.3726619390208801;0.262989695487007;0.3610154976500532
10;PDC_SLEEP_DA;0.18898826832761328;0.14293237185691704;0.0943032756938994;0.13606478265191058;0.12942655807077108
11;PDC_SLEEP_AVGCC;0.004896934869343346;0.3157973965292324;0.14293237185691704;0.07963726082642564;0.011492640035821448
12;DTF_AWAKE_GE;0.3494965101075158;0.3494965101075158;0.30487939961221255;0.30487939961221255;0.2731808332272815
13;DTF_AWAKE_GRC;0.20617592794401451;0.3494965101075158;0.20617592794401451;0.12301617454913333;0.13606478265191058
14;DTF_AWAKE_MOD;0.15735975335751945;0.3844259825075108;0.3844259825075108;0.14293237185691704;0.22425749799628386
15;DTF_AWAKE_DA;0.21510642100922672;0.3381144778320262;0.07963726082642564;0.15003045558256378;0.14293237185691704
16;DTF_AWAKE_AVGCC;0.12942655807077108;0.23362563904295625;0.21510642100922672;0.25299651575947213;0.21510642100922672
17;DTF_SLEEP_GE;0.32687852888302504;0.3844259825075108;0.396297450831985;0.30487939961221255;0.3494965101075158
18;DTF_SLEEP_GRC;0.04590508323855924;0.29413242475453516;0.4082658673600003;0.16492055867722394;0.3381144778320262
19;DTF_SLEEP_MOD;0.14293237185691704;0.20617592794401451;0.3494965101075158;0.1727127244844901;0.3381144778320262
20;DTF_SLEEP_DA;0.3157973965292324;0.04024983194701881;0.25299651575947213;0.3844259825075108;0.4938297237423794
21;DTF_SLEEP_AVGCC;0.15735975335751945;0.29413242475453516;0.18898826832761328;0.3726619390208801;0.4203204836994675
