;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.472470670819033;0.472470670819033;0.4938297237423794;0.4938297237423794;0.4938297237423794
1;wPLI_SLEEP_MEAN_SYNCH;0.22677463775318416;0.3844259825075108;0.2688830262615334;0.057463200179107;0.061864052661507
2;PDC_AWAKE_GE;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794;0.4938297237423794
3;PDC_AWAKE_GRC;0.3844259825075108;0.3844259825075108;0.3844259825075108;0.3844259825075108;0.3844259825075108
4;PDC_AWAKE_MOD;0.3610154976500532;0.11810709982968018;0.11810709982968018;0.17866546482114626;0.11810709982968018
5;PDC_AWAKE_DA;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158
6;PDC_AWAKE_AVGCC;0.456890585361198;0.456890585361198;0.456890585361198;0.456890585361198;0.456890585361198
7;PDC_SLEEP_GE;0.1700809783148881;0.3610154976500532;0.16601635006216534;0.044895062909761994;0.04959114988038725
8;PDC_SLEEP_GRC;0.4814950739147495;0.4814950739147495;0.4814950739147495;0.4814950739147495;0.4814950739147495
9;PDC_SLEEP_MOD;0.4446441378006054;0.4446441378006054;0.4446441378006054;0.4446441378006054;0.4446441378006054
10;PDC_SLEEP_DA;0.1889882683276132;0.17866546482114626;0.17866546482114626;0.17866546482114626;0.17866546482114626
11;PDC_SLEEP_AVGCC;0.024484674346716497;0.3157973965292324;0.17866546482114626;0.13272876804404266;0.0287316000895535
12;DTF_AWAKE_GE;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158;0.3494965101075158
13;DTF_AWAKE_GRC;0.2577199099300181;0.3494965101075158;0.2577199099300181;0.2577199099300181;0.2577199099300181
14;DTF_AWAKE_MOD;0.373762496660473;0.3844259825075108;0.3844259825075108;0.373762496660473;0.373762496660473
15;DTF_AWAKE_DA;0.2688830262615334;0.3381144778320262;0.25005075930427284;0.25005075930427284;0.25005075930427284
16;DTF_AWAKE_AVGCC;0.2529965157594721;0.2529965157594721;0.2529965157594721;0.2529965157594721;0.2529965157594721
17;DTF_SLEEP_GE;0.396297450831985;0.396297450831985;0.396297450831985;0.396297450831985;0.396297450831985
18;DTF_SLEEP_GRC;0.22952541619279598;0.4082658673600003;0.4082658673600003;0.4082658673600003;0.4082658673600003
19;DTF_SLEEP_MOD;0.3436265465733575;0.3436265465733575;0.3494965101075158;0.3436265465733575;0.3494965101075158
20;DTF_SLEEP_DA;0.4805324781343885;0.201249159735094;0.4805324781343885;0.4805324781343885;0.4938297237423794
21;DTF_SLEEP_AVGCC;0.4203204836994675;0.4203204836994675;0.4203204836994675;0.4203204836994675;0.4203204836994675
