;measure;delta;theta;alpha;beta;broadband
0;wPLI_AWAKE_MEAN_SYNCH;0.0890426127417065;0.23265704392364417;0.41647295443355603;0.3913413133150858;0.4547873840315531
1;wPLI_SLEEP_MEAN_SYNCH;0.06990834694301518;0.2961781304883664;0.2741449677337292;0.016773559846444748;0.028826727184508155
2;PDC_AWAKE_GE;0.36665539631668637;0.4038575191525414;0.46767129420681897;0.4038575191525414;0.4291750246937428
3;PDC_AWAKE_GRC;0.2228586056892456;0.13145827979107377;0.4038575191525414;0.25295344246198925;0.3074910460228458
4;PDC_AWAKE_MOD;0.41647295443355603;0.04127539251389836;0.10577327073338516;0.15334920664201845;0.0890426127417065
5;PDC_AWAKE_DA;0.23265704392364417;0.23265704392364417;0.23265704392364417;0.2741449677337292;0.24269038298417722
6;PDC_AWAKE_AVGCC;0.44195086601022027;0.49352744993252573;0.49352744993252573;0.33066606728022685;0.3789366242933474
7;PDC_SLEEP_GE;0.13145827979107377;0.36665539631668637;0.10577327073338516;0.005427641404895486;0.018173525644872547
8;PDC_SLEEP_GRC;0.3425091808724738;0.3425091808724738;0.3913413133150858;0.3425091808724738;0.4805891630079857
9;PDC_SLEEP_MOD;0.46767129420681897;0.3074910460228458;0.44195086601022027;0.2850600567610001;0.3913413133150858
10;PDC_SLEEP_DA;0.2228586056892456;0.13850199771703287;0.09438540078706653;0.09996094775430114;0.09996094775430114
11;PDC_SLEEP_AVGCC;0.007813265920233755;0.3545091961797982;0.13145827979107377;0.07903771178290303;0.015466889358959554
12;DTF_AWAKE_GE;0.3074910460228458;0.25295344246198925;0.2132996387954817;0.2132996387954817;0.18609614749606912
13;DTF_AWAKE_GRC;0.15334920664201845;0.24269038298417722;0.11182604848132732;0.06161290125458381;0.06990834694301518
14;DTF_AWAKE_MOD;0.19491535614369093;0.44195086601022027;0.3189901040903924;0.16921440111083413;0.26344043430946396
15;DTF_AWAKE_DA;0.16115444224223802;0.4547873840315531;0.10577327073338516;0.2132996387954817;0.20398410419616497
16;DTF_AWAKE_AVGCC;0.10577327073338516;0.16921440111083413;0.14579859843964144;0.16921440111083413;0.15334920664201845
17;DTF_SLEEP_GE;0.3189901040903924;0.46767129420681897;0.3189901040903924;0.25295344246198925;0.2850600567610001
18;DTF_SLEEP_GRC;0.04127539251389836;0.1775286373806011;0.46767129420681897;0.20398410419616497;0.4547873840315531
19;DTF_SLEEP_MOD;0.2132996387954817;0.23265704392364417;0.25295344246198925;0.13145827979107377;0.25295344246198925
20;DTF_SLEEP_DA;0.25295344246198925;0.057764081379316864;0.2741449677337292;0.41647295443355603;0.46767129420681897
21;DTF_SLEEP_AVGCC;0.09996094775430114;0.1775286373806011;0.09996094775430114;0.2741449677337292;0.3189901040903924
